data_source,field_name,data_type,required,allowed_values,description_and_usage_notes
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,unique_id,Text,Yes,CDC-000001 to CDC-999999. Never reassigned.,"Stable unique identifier for this row. Assigned once and never changed, even if the row is updated or the file restructured. Format: [AGENCY]-[6-digit number]. Current prefix: CDC. When other HHS agencies are added they will use their own prefix (e.g., NIH-000001). Serves as the primary key in a relational database. "
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,fiscal_year,Integer,Yes,2020–2030,Federal fiscal year the budget covers (Oct 1 – Sep 30). FY2025 = Oct 2024 – Sep 2025.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,agency,Text,Yes,HHS,Top-level department. Currently only 'HHS'. sub_agency carries the operating division.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,sub_agency,Text,No,CDC | AHA | ATSDR | OS,"HHS operating division. AHA, ATSDR, and OS appear only in FY2026 CJ and BIB rows. Leave blank only for HHS-wide aggregate rows."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,program,Text,No,Exact text from source document,Program name exactly as written in the source. Leave blank for aggregate rows. Document any naming variation in crosswalk_note.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,sub_program,Text,No,Free text from source,First sub-program level. Required when granularity = sub_program_level. Leave blank for program_level and aggregate rows.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,sub_program_2,Text,No,Free text from source,Second sub-program level. Rows with sp2 carry is_non_add = Subcomponent — NOT additive with parent. Filter WHERE sub_program_2 IS NULL for clean sub_program-level totals.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,sub_program_3,Text,No,Free text from source,Third sub-program level. NOT additive with sp2 parent. Filter WHERE sub_program_3 IS NULL to exclude third-level detail.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,budget_source,Categorical,Yes,Budget in Brief | Congressional Justification | House Approp Committee | Senate Approp Committee | Joint Explanatory Statement  | Continuing Resolution | Public Law | Operational Plan,Which document produced this figure. Join source_id to SOURCE REGISTRY for full document metadata including URL and release date.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,budget_stage,Categorical,Yes,Request | Committee | Enacted | Continuing Resolution,"Stage in the appropriations process. Request = President's Budget (BIB or CJ). Committee = House or Senate markup. Enacted = JES, Public Law, or Operational Plan. Continuing Resolution = CR placeholder aggregate."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,granularity,Categorical,Yes,aggregate | program_level | sub_program_level | sub_program_2_level | sub_program_3_level,"Level of detail. aggregate = agency-wide total. program_level = one appropriations account. sp2/sp3 level rows carry is_non_add = Subcomponent and are non-additive with parent rows. Filter WHERE is_non_add = No for clean, non-overlapping totals."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,amount_millions,Number,Yes,$0 = explicitly zeroed. BLANK = not reported.,Funding amount in millions of dollars. $0 = source explicitly shows no funding. BLANK = figure not reported at this level.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,funding_type,Categorical,Yes,Discretionary | PPHF | PHS Evaluation | Mandatory | User Fees | Supplemental | Total,Discretionary = annual Budget Authority. PPHF = Prevention and Public Health Fund (eliminated in FY2026 PB; restored in JES). PHS Evaluation = Section 241 transfer funds. Mandatory programs also have a Total row for pivot visibility. Total = sum of all funding streams.
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,program_status,Categorical,Yes,Active | Proposed Elimination | Proposed Transfer to AHA | Proposed Transfer to Office of Secretary | Proposed Transfer to Other Agency | Eliminated | Transferred to AHA | Restructured | Proposed Law,"Status of program in this source. 'Proposed' = President's Budget only, not enacted."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,is_non_add,Categorical,Yes,No | Non-add | Subcomponent,"No = independent line item; safe to sum with other No rows at the same level.
Non-add = labeled (non-add) in source; already counted in a parent row.
Subcomponent = sp2/sp3 structural breakdown; non-additive with parent.
Filter WHERE is_non_add = No for clean totals."
hhs-appropriations-repository-fy24-fy27,notes,Text,No,Free text,"Qualitative context: program changes, funding shifts, aggregate discrepancy explanations. Keep factual and sourced."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,source_id,Text,Yes,S001–S027 (extends as new sources are added). Must match source_id in SOURCE REGISTRY.,"Foreign key linking this row to the SOURCE REGISTRY. Join on source_id to retrieve document name, URL, release date, and granularity metadata. In a relational database this is a foreign key to the sources table. source_doc and source_url have been removed from this normalized version — all document metadata lives in the hhs-appropriations-source-registry."
hhs-appropriations-repository-fy24-fy27; op-cj-rif-linked,source_page,Integer,Yes,Printed page number in source document,Page number as printed in the source document header (not the PDF viewer count). Required for verification. Use alongside source_id to locate the original figure.
op-cj-rif-linked,"fte_center_abbrev	",Text,Yes,CDC Center (abbrreviation)responsible for implemeting the program ,"Foreign key linking this row to the hhs-appropriations-source-registry. Join on source_id to retrieve document name, URL, release date, and granularity metadata. In a relational database this is a foreign key to the sources table. source_doc and source_url have been removed from this normalized version — all document metadata lives in the hhs-appropriations-source-registry."
op-cj-rif-linked,fte_work_unit,Text,Yes,CDC work unit responsible for implementing the program.,
op-cj-rif-linked,fte_certainty_level,Categ.,Cond.,High | Medium | Low,FTE data only (FY2026 CJ/JES subset). Confidence level of the work unit assignment in the RIF source data. 
op-cj-rif-linked,fte_pct_rifd,Number,Cond.,0.0–100.0,FTE data only. Percentage of FTEs in the matched work unit currently subject to RIF action (admin leave + separated). Present only when a RIF match exists.
op-cj-rif-linked,fte_currently_rifd_count,Integer,Cond.,Non-negative integer,FTE data only. Count of FTEs currently under RIF action (admin leave + separated). 
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_not_impacted,Integer,Cond.,Non-negative integer,FTE data only. Count of FTEs in the matched work unit not impacted by the RIF..
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_reinstated,Integer,Cond.,Non-negative integer,"FTE data only. Count of FTEs reinstated afterfrom admin leave initial RIF action.  Still employed, working in regular duties."
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_admin_leave,Integer,Cond.,Non-negative integer,"FTE data only. Count of FTEs currently on paid administrative leave as part of the RIF process.  Still employed, not currently working"
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_separated,Integer,Cond.,Non-negative integer,FTE data only. Count of FTEs separated (terminated) through the RIF.  No longer employed.
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_unclear,Integer,Cond.,Non-negative integer,FTE data only. Count of FTEs with unclear RIF status in source data. 
op-cj-rif-linked; cdc-fte-rif-2025-branch,fte_total_fte,Integer,Cond.,Non-negative integer,FTE data only. Total FTE count for the matched RIF work unit (not_impacted + admin_leave + reinstated + separated + unclear). 
